car_0,car_1,car_2,car_3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,2,1
0,0,2,1
0,0,2,1
car_0,car_1,car_2,car_3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
